PID,Group,TaskCompletionTime
P01,Dynamic,6.25
P02,Explicit,9
P03,Auto-suggestion,5
P04,Dynamic,7.5
P05,Explicit,8.5
P06,Auto-suggestion,7.5
P07,Dynamic,6.25
P08,Dynamic,7.75
P09,Explicit,8
P10,Dynamic,7.25
P11,Dynamic,7.25
P12,Explicit,7.75
P13,Explicit,8.25
P14,Auto-suggestion,5
P15,Auto-suggestion,8
P16,Explicit,8.25
P17,Dynamic,7.5
P18,Explicit,8
P19,Explicit,8.5
P20,Auto-suggestion,7
P21,Dynamic,7.25
P22,Auto-suggestion,7
P23,Explicit,7.5
P24,Dynamic,6.5
P25,Dynamic,8
P26,Auto-suggestion,7.5
P27,Auto-suggestion,7
P28,Dynamic,6.5
P29,Auto-suggestion,5.5
P30,Auto-suggestion,8.5
P31,Auto-suggestion,5.5
P32,Explicit,7.5
P33,Explicit,7.25
P34,Explicit,9.25
P35,Dynamic,7.25
P36,Auto-suggestion,7
